model_name,wet_bulb_temp,cold_water_temp,hot_water_temp,capacity,lg_ratio,kahl,slope
NSK-100,27,32,37,77.903532,1.492,1.023,-0.813
NSK-125,27,32,37,97.379415,1.492,1.023,-0.813
NSK-150,27,32,37,116.855298,1.528,1.047,-0.813
NSK-175,27,32,37,136.331181,1.528,1.047,-0.813
NSK-200,27,32,37,155.807064,1.528,1.047,-0.813
NSK-225,27,32,37,175.282947,1.528,1.047,-0.813
NSK-250,27,32,37,194.75883,1.528,1.047,-0.813
NSK-300,27,32,37,233.710596,1.597,1.094,-0.813
NSK-350,27,32,37,272.662362,1.597,1.094,-0.813
NSK-400,27,32,37,311.614128,1.597,1.094,-0.813
NSK-450,27,32,37,350.565894,1.597,1.094,-0.813
NSK-500,27,32,37,389.51766,1.597,1.094,-0.813
